Country Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
RUS,0,0,0,0,1,2,1,4,6,10,12,0,13,12,23,47
RWA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SAU,0,0,1,,4,7,6,12,14,10,11,21,26,29,35,39
SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGP,7,16,22,44,38,44,41,75,64,79,63,100,0,0,88,100
SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLV,0,0,0,0,0,0,5,13,0,15,16,0,0,0,0,32
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0
SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWE,0,0,0,3,4,6,6,13,14,13,15,29,0,0,34,42
SWZ,0,3,0,2,2,4,3,8,9,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,8,12,11,10,6,9,8,15,14,18,20,33,40,26,33,36
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,0,0,0,0,3,4,5,10,10,14,13,0,0,0,0,31
TUR,0,0,0,0,1,1,2,4,4,10,11,18,28,35,30,34
TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWN,0,4,0,11,12,12,15,39,35,22,20,33,0,0,43,58
TZA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,1,2,3,5,7,12,0,0,12,22
URY,0,0,0,0,0,0,3,6,9,15,18,0,0,0,0,0
USA,2,2,1,4,6,7,8,17,17,18,16,29,27,34,29,39
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0,0,0,1,2,2,2,4,4,8,12,0,0,0,23,29
VNM,47,94,60,92,67,53,35,57,41,32,22,38,32,26,24,31
VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XKX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,0,0,0,0,0,0,0,0,0,8,7,0,0,0,33,39
ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
